"employees","random_salaries","salary_adjustments","salary","raise"
"Employee 1",46000.158705283,4074.18598420918,50074.3446894921,TRUE
"Employee 2",45452.7142783627,8484.9778295029,53937.6921078656,TRUE
"Employee 3",42035.6604200788,-1873.36923903786,40162.2911810409,FALSE
"Employee 4",42375.8469126187,4104.18200772256,46480.0289203413,TRUE
"Employee 5",42546.0195355117,-2362.25810949691,40183.7614260148,FALSE
"Employee 6",48176.7651345581,1696.56223384663,49873.3273684047,TRUE
"Employee 7",46872.1239874139,-4341.0821876023,42531.0417998116,FALSE
"Employee 8",46121.7912519351,-2238.45250322483,43883.3387487102,FALSE
"Employee 9",42425.3397760913,5502.45489808731,47927.7946741786,TRUE
"Employee 10",48206.2924886122,3875.2459269017,52081.5384155139,TRUE
"Employee 11",44947.5706066005,-3113.65475528874,41833.9158513118,FALSE
"Employee 12",47499.4451832026,4950.3182223998,52449.7634056024,TRUE
"Employee 13",47798.4803495929,4680.00835157,52478.4887011629,TRUE
"Employee 14",45597.8049314581,-279.723220737651,45318.0817107204,FALSE
"Employee 15",47764.9500477128,8338.43060070649,56103.3806484193,TRUE
"Employee 16",46727.8225719929,-281.168470392004,46446.6541016009,FALSE
"Employee 17",43484.9771857262,5059.26418467425,48544.2413704004,TRUE
"Employee 18",42665.7883636653,5380.50506962463,48046.29343329,TRUE
"Employee 19",49427.5294267572,684.677561512217,50112.2069882695,TRUE
"Employee 20",41390.8842252567,3190.90513861738,44581.7893638741,TRUE
"Employee 21",44233.5882526822,4449.49501659721,48683.0832692795,TRUE
"Employee 22",47506.8406015635,7403.67405000143,54910.5146515649,TRUE
"Employee 23",43925.6019913591,6776.16653265432,50701.7685240135,TRUE
"Employee 24",45639.662630856,7042.97170974314,52682.6343405992,TRUE
"Employee 25",48725.0726623461,2874.39952255227,51599.4721848983,TRUE
"Employee 26",48227.9277592897,7055.39912451059,55283.3268838003,TRUE
"Employee 27",48583.3212337457,3929.3440291658,52512.6652629115,TRUE
"Employee 28",44123.6546984874,-1862.24230448715,42261.4123940002,FALSE
"Employee 29",43713.5479343124,2138.05416598916,45851.6021003015,TRUE
"Employee 30",47584.8232256249,2234.00769988075,49818.8309255056,TRUE
"Employee 31",47466.3931829855,1086.36867953464,48552.7618625201,TRUE
"Employee 32",48209.3242788687,1292.6465307828,49501.9708096515,TRUE
"Employee 33",46659.3024111353,1504.61234501563,48163.9147561509,TRUE
"Employee 34",45385.0279003382,-3366.22644099407,42018.8014593441,FALSE
"Employee 35",42254.1709267534,-3165.50256800838,39088.6683587451,FALSE
"Employee 36",49156.629035715,261.618824442849,49418.2478601579,TRUE
"Employee 37",46242.0934857801,-2420.81934818998,43821.2741375901,FALSE
"Employee 38",49015.8625808544,7646.23576309532,56662.0983439498,TRUE
"Employee 39",47431.6388973966,986.732577439398,48418.371474836,TRUE
"Employee 40",45186.6403361782,5801.07688554563,50987.7172217239,TRUE
"Employee 41",40949.1631272249,6395.07253072225,47344.2356579471,TRUE
"Employee 42",42404.8764631152,7144.50107421726,49549.3775373325,TRUE
"Employee 43",47802.4765988812,4253.05879442021,52055.5353933014,TRUE
"Employee 44",47609.1308891773,-4855.75313912705,42753.3777500503,FALSE
